municipio;prefeito;nome_urna;partido;numero;votos;total_votos_municipio;percentual_municipio;situacao;turno
Cardoso Moreira;Geane Cordeiro Vincler;Geane Vincler;UNIÃO;44;7262;10628;68.3289;ELEITO;1
Carmo;Samuel Soares de Lima;Samuel do Romão;PSD;55;6495;7084;91.6855;ELEITO;1
Casimiro de Abreu;Ramon Dias Gidalte;Ramon;PL;22;19086;26431;72.2107;ELEITO;1
Comendador Levy Gasparian;Claudio Mannarino;Claudio Mannarino;UNIÃO;44;5247;6843;76.6769;ELEITO;1
Conceição de Macabu;Valmir Tavares Lessa;Valmir Lessa;CIDADANIA;23;8739;13695;63.8116;ELEITO;1
Cordeiro;Leonan Lopes Melhorance;Leonan;PL;22;8636;13729;62.9033;ELEITO;1
Duas Barras;Armando Rosemberto Mattos Teixeira;Bebeto;SOLIDARIEDADE;77;5917;8689;68.0976;ELEITO;1
Duque de Caxias;Jonathas Rego Monteiro Porto Neto;Netinho Reis;MDB;15;243850;450930;54.0771;ELEITO;1
Engenheiro Paulo de Frontin;José Emmanoel Rodrigues Artemenko;Maneko Artemenko;UNIÃO;44;5280;9331;56.5856;ELEITO;1
Guapimirim;Marina Pereira da Rocha Fernandez;Marina Rocha;AGIR;36;28549;33152;86.1155;ELEITO;1
Iguaba Grande;Fabio de Oliveira Costa;Fabinho;CIDADANIA;23;21274;22372;95.0921;ELEITO;1
Itaboraí;Marcelo Jandre Delaroli;Marcelo Delaroli;PL;22;116813;124545;93.7918;ELEITO;1
Itaguaí;Haroldo Rodrigues Jesus Neto;Haroldo Jesus;PDT;;0;0;0;"PREFEITO INTERINO; eleição municipal sem eleito validado no TSE";
Italva;Leonardo Orato Rangel;Léo Pelanca;PL;22;7796;9332;83.5405;ELEITO;1
Itaocara;Heriberto Pereira de Oliveira;Heriberto;UNIÃO;44;7270;14948;48.6353;ELEITO;1
Itaperuna;Emanuel Medeiros da Silva;Nel;PL;22;24004;55644;43.1385;ELEITO;1
Itatiaia;Kaio Marcio Resende de Paiva;Kaio do Diogo Balieiro;PL;22;7700;20653;37.2827;ELEITO;1
